Time,,X1,Y1,Z1,X2,Y2,Z2
4.33,2.544,1.3805824,1.1973122,5.5414512,1.3688078,1.1974652,5.548837
4.331,2.545,1.38337,1.197478,5.5398595,1.371633,1.1977245,5.5473595
4.332,2.546,1.3861576,1.1976438,5.5382678,1.3744582,1.1979838,5.545882
4.333,2.547,1.3889452,1.1978096,5.5366761,1.3772834,1.1982431,5.5444045
4.334,2.548,1.3917328,1.1979754,5.5350844,1.3801086,1.1985024,5.542927
4.335,2.549,1.3945204,1.1981412,5.5334927,1.3829338,1.1987617,5.5414495
4.336,2.55,1.397308,1.198307,5.531901,1.385759,1.199021,5.539972
4.337,2.551,1.400139,1.1982212,5.5303427,1.3886568,1.1990627,5.538405
4.338,2.552,1.40297,1.1981354,5.5287844,1.3915546,1.1991044,5.536838
4.339,2.553,1.405801,1.1980496,5.5272261,1.3944524,1.1991461,5.535271
4.34,2.554,1.408632,1.1979638,5.5256678,1.3973502,1.1991878,5.533704
4.341,2.555,1.411463,1.197878,5.5241095,1.400248,1.1992295,5.532137
4.342,2.556,1.414294,1.1977922,5.5225512,1.4031458,1.1992712,5.53057
4.343,2.557,1.417125,1.1977064,5.5209929,1.4060436,1.1993129,5.529003
4.344,2.558,1.419956,1.1976206,5.5194346,1.4089414,1.1993546,5.527436
4.345,2.559,1.422787,1.1975348,5.5178763,1.4118392,1.1993963,5.525869
4.346,2.56,1.425618,1.197449,5.516318,1.414737,1.199438,5.524302
4.347,2.561,1.4285219,1.1972921,5.5147636,1.4176478,1.1994163,5.5227749
4.348,2.562,1.4314258,1.1971352,5.5132092,1.4205586,1.1993946,5.5212478
4.349,2.563,1.4343297,1.1969783,5.5116548,1.4234694,1.1993729,5.5197207
4.35,2.564,1.4372336,1.1968214,5.5101004,1.4263802,1.1993512,5.5181936
4.351,2.565,1.4401375,1.1966645,5.508546,1.429291,1.1993295,5.5166665
4.352,2.566,1.4430414,1.1965076,5.5069916,1.4322018,1.1993078,5.5151394
4.353,2.567,1.4459453,1.1963507,5.5054372,1.4351126,1.1992861,5.5136123
4.354,2.568,1.4488492,1.1961938,5.5038828,1.4380234,1.1992644,5.5120852
4.355,2.569,1.4517531,1.1960369,5.5023284,1.4409342,1.1992427,5.5105581
4.356,2.57,1.454657,1.19588,5.500774,1.443845,1.199221,5.509031
4.357,2.571,1.4573598,1.1960254,5.4992006,1.4466104,1.1994172,5.5075127
4.358,2.572,1.4600626,1.1961708,5.4976272,1.4493758,1.1996134,5.5059944
4.359,2.573,1.4627654,1.1963162,5.4960538,1.4521412,1.1998096,5.5044761
4.36,2.574,1.4654682,1.1964616,5.4944804,1.4549066,1.2000058,5.5029578
4.361,2.575,1.468171,1.196607,5.492907,1.457672,1.200202,5.5014395
4.362,2.576,1.4708738,1.1967524,5.4913336,1.4604374,1.2003982,5.4999212
4.363,2.577,1.4735766,1.1968978,5.4897602,1.4632028,1.2005944,5.4984029
4.364,2.578,1.4762794,1.1970432,5.4881868,1.4659682,1.2007906,5.4968846
4.365,2.579,1.4789822,1.1971886,5.4866134,1.4687336,1.2009868,5.4953663
4.366,2.58,1.481685,1.197334,5.48504,1.471499,1.201183,5.493848
4.367,2.581,1.4841679,1.1978448,5.4835811,1.47399,1.2015761,5.4924235
4.368,2.582,1.4866508,1.1983556,5.4821222,1.476481,1.2019692,5.490999
4.369,2.583,1.4891337,1.1988664,5.4806633,1.478972,1.2023623,5.4895745
4.37,2.584,1.4916166,1.1993772,5.4792044,1.481463,1.2027554,5.48815
4.371,2.585,1.4940995,1.199888,5.4777455,1.483954,1.2031485,5.4867255
4.372,2.586,1.4965824,1.2003988,5.4762866,1.486445,1.2035416,5.485301
4.373,2.587,1.4990653,1.2009096,5.4748277,1.488936,1.2039347,5.4838765
4.374,2.588,1.5015482,1.2014204,5.4733688,1.491427,1.2043278,5.482452
4.375,2.589,1.5040311,1.2019312,5.4719099,1.493918,1.2047209,5.4810275
4.376,2.59,1.506514,1.202442,5.470451,1.496409,1.205114,5.479603
4.377,2.591,1.5088726,1.2032206,5.4690962,1.4988145,1.205707,5.4782852
4.378,2.592,1.5112312,1.2039992,5.4677414,1.50122,1.2063,5.4769674
4.379,2.593,1.5135898,1.2047778,5.4663866,1.5036255,1.206893,5.4756496
4.38,2.594,1.5159484,1.2055564,5.4650318,1.506031,1.207486,5.4743318
4.381,2.595,1.518307,1.206335,5.463677,1.5084365,1.208079,5.473014
4.382,2.596,1.5206656,1.2071136,5.4623222,1.510842,1.208672,5.4716962
4.383,2.597,1.5230242,1.2078922,5.4609674,1.5132475,1.209265,5.4703784
4.384,2.598,1.5253828,1.2086708,5.4596126,1.515653,1.209858,5.4690606
4.385,2.599,1.5277414,1.2094494,5.4582578,1.5180585,1.210451,5.4677428
4.386,2.6,1.5301,1.210228,5.456903,1.520464,1.211044,5.466425
4.387,2.601,1.5324565,1.2110945,5.4556989,1.522856,1.2117786,5.4652649
4.388,2.602,1.534813,1.211961,5.4544948,1.525248,1.2125132,5.4641048
4.389,2.603,1.5371695,1.2128275,5.4532907,1.52764,1.2132478,5.4629447
4.39,2.604,1.539526,1.213694,5.4520866,1.530032,1.2139824,5.4617846
4.391,2.605,1.5418825,1.2145605,5.4508825,1.532424,1.214717,5.4606245
4.392,2.606,1.544239,1.215427,5.4496784,1.534816,1.2154516,5.4594644
4.393,2.607,1.5465955,1.2162935,5.4484743,1.537208,1.2161862,5.4583043
4.394,2.608,1.548952,1.21716,5.4472702,1.5396,1.2169208,5.4571442
4.395,2.609,1.5513085,1.2180265,5.4460661,1.541992,1.2176554,5.4559841
4.396,2.61,1.553665,1.218893,5.444862,1.544384,1.21839,5.454824
4.397,2.611,1.5560312,1.2199442,5.4437164,1.546728,1.2193209,5.453697
4.398,2.612,1.5583974,1.2209954,5.4425708,1.549072,1.2202518,5.45257
4.399,2.613,1.5607636,1.2220466,5.4414252,1.551416,1.2211827,5.451443
4.4,2.614,1.5631298,1.2230978,5.4402796,1.55376,1.2221136,5.450316
4.401,2.615,1.565496,1.224149,5.439134,1.556104,1.2230445,5.449189
4.402,2.616,1.5678622,1.2252002,5.4379884,1.558448,1.2239754,5.448062
4.403,2.617,1.5702284,1.2262514,5.4368428,1.560792,1.2249063,5.446935
4.404,2.618,1.5725946,1.2273026,5.4356972,1.563136,1.2258372,5.445808
4.405,2.619,1.5749608,1.2283538,5.4345516,1.56548,1.2267681,5.444681
4.406,2.62,1.577327,1.229405,5.433406,1.567824,1.227699,5.443554
4.407,2.621,1.5797691,1.2304875,5.4321962,1.5702068,1.2286337,5.4422499
4.408,2.622,1.5822112,1.23157,5.4309864,1.5725896,1.2295684,5.4409458
4.409,2.623,1.5846533,1.2326525,5.4297766,1.5749724,1.2305031,5.4396417
4.41,2.624,1.5870954,1.233735,5.4285668,1.5773552,1.2314378,5.4383376
4.411,2.625,1.5895375,1.2348175,5.427357,1.579738,1.2323725,5.4370335
4.412,2.626,1.5919796,1.2359,5.4261472,1.5821208,1.2333072,5.4357294
4.413,2.627,1.5944217,1.2369825,5.4249374,1.5845036,1.2342419,5.4344253
4.414,2.628,1.5968638,1.238065,5.4237276,1.5868864,1.2351766,5.4331212
4.415,2.629,1.5993059,1.2391475,5.4225178,1.5892692,1.2361113,5.4318171
4.416,2.63,1.601748,1.24023,5.421308,1.591652,1.237046,5.430513
4.417,2.631,1.6045293,1.2408143,5.4198905,1.5943417,1.2378133,5.4290707
4.418,2.632,1.6073106,1.2413986,5.418473,1.5970314,1.2385806,5.4276284
4.419,2.633,1.6100919,1.2419829,5.4170555,1.5997211,1.2393479,5.4261861
4.42,2.634,1.6128732,1.2425672,5.415638,1.6024108,1.2401152,5.4247438
4.421,2.635,1.6156545,1.2431515,5.4142205,1.6051005,1.2408825,5.4233015
4.422,2.636,1.6184358,1.2437358,5.412803,1.6077902,1.2416498,5.4218592
4.423,2.637,1.6212171,1.2443201,5.4113855,1.6104799,1.2424171,5.4204169
4.424,2.638,1.6239984,1.2449044,5.409968,1.6131696,1.2431844,5.4189746
4.425,2.639,1.6267797,1.2454887,5.4085505,1.6158593,1.2439517,5.4175323
4.426,2.64,1.629561,1.246073,5.407133,1.618549,1.244719,5.41609
4.427,2.641,1.6324613,1.2464728,5.40571,1.621491,1.2452957,5.4146624
4.428,2.642,1.6353616,1.2468726,5.404287,1.624433,1.2458724,5.4132348
4.429,2.643,1.6382619,1.2472724,5.402864,1.627375,1.2464491,5.4118072
4.43,2.644,1.6411622,1.2476722,5.401441,1.630317,1.2470258,5.4103796
4.431,2.645,1.6440625,1.248072,5.400018,1.633259,1.2476025,5.408952
4.432,2.646,1.6469628,1.2484718,5.398595,1.636201,1.2481792,5.4075244
4.433,2.647,1.6498631,1.2488716,5.397172,1.639143,1.2487559,5.4060968
