Frame,,,Time,X1,Y1,Z1,X2,Y2,Z2
362,5.41,5.406,3.62,2.620124,1.361973,3.149372,2.628211,1.359686,3.160645
363,5.42,5.416,3.63,2.60663,1.367743,3.118804,2.613838,1.365668,3.130071
364,5.43,5.426,3.64,2.591961,1.370814,3.086735,2.599154,1.370358,3.098396
365,5.44,5.436,3.65,2.577202,1.373064,3.055392,2.584409,1.374051,3.067504
366,5.45,5.446,3.66,2.562222,1.376761,3.026578,2.570555,1.378479,3.037796
367,5.46,5.456,3.67,2.548131,1.38408,2.999687,2.557435,1.38448,3.010404
368,5.47,5.466,3.68,2.535491,1.393006,2.974046,2.545011,1.391931,2.98483
369,5.48,5.476,3.69,2.52478,1.402969,2.948699,2.533778,1.400669,2.959133
370,5.49,5.486,3.7,2.514566,1.41527,2.92382,2.523271,1.411952,2.934761
371,5.5,5.496,3.71,2.504112,1.429203,2.898463,2.512399,1.425298,2.9096
372,5.51,5.506,3.72,2.492149,1.441345,2.870928,2.499915,1.438262,2.882891
373,5.52,5.516,3.73,2.479492,1.450087,2.841852,2.486566,1.448479,2.854142
374,5.53,5.526,3.74,2.466633,1.45639,2.812156,2.473904,1.455772,2.824171
375,5.54,5.536,3.75,2.453293,1.46245,2.782387,2.460675,1.462824,2.794499
376,5.55,5.546,3.76,2.440481,1.468899,2.754854,2.447712,1.470902,2.767022
377,5.56,5.556,3.77,2.430536,1.478285,2.728752,2.436285,1.479215,2.741328
378,5.57,5.566,3.78,2.421714,1.48937,2.703788,2.428113,1.489593,2.716247
379,5.58,5.576,3.79,2.416475,1.502687,2.67883,2.420952,1.501617,2.691415
380,5.59,5.586,3.8,2.411102,1.517976,2.655088,2.415123,1.515949,2.667744
381,5.6,5.596,3.81,2.407634,1.534165,2.630862,2.410721,1.530632,2.643796
382,5.61,5.606,3.82,2.403452,1.547158,2.604587,2.407156,1.544075,2.617361
383,5.62,5.616,3.83,2.398861,1.557861,2.576463,2.402214,1.555316,2.589576
384,5.63,5.626,3.84,2.392379,1.566792,2.547991,2.395121,1.564666,2.561347
385,5.64,5.636,3.85,2.386326,1.574344,2.519786,2.387175,1.573621,2.532493
386,5.65,5.646,3.86,2.378166,1.582,2.492077,2.380747,1.582563,2.504995
387,5.66,5.656,3.87,2.372903,1.590605,2.465852,2.375884,1.591889,2.479638
388,5.67,5.666,3.88,2.37039,1.601158,2.441228,2.371317,1.60062,2.455394
